Nп/п,Код,Артикул,Наименование,Производитель,Количество,Цена,Сумма
1,1538, ,Блок вызова DP300-RD16,ЭЛТИС,5,3071,15355
2,1537, ,Блок вызова DP300-RD24,ЭЛТИС,8,3083,24664
3,8872, ,Блок вызова DP300-RDC24,ЭЛТИС,10,4368,43680
4,8915, ,Блок вызова DP300-RDC16,ЭЛТИС,4,4326,17304
5,1597, ,Блок вызова DP300-TD16,ЭЛТИС,6,2812,16872
6,1577, ,Блок вызова DP300-TD22,ЭЛТИС,6,2895,17370
7,8907, ,Блок вызова DP300-TDC16,ЭЛТИС,4,4233,16932
8,8851, ,Блок вызова DP300-TDC22,ЭЛТИС,12,4343,52116
9,1761, ,Блок вызова DP303-RD16,ЭЛТИС,1,3295,3295
10,8295, ,Блок вызова DP303-RD24,ЭЛТИС,1,3296,3296
11,1687, ,Блок вызова DP303-TD16,ЭЛТИС,1,3124,3124
12,1485, ,Блок вызова DP400-RD16,ЭЛТИС,70,2375,166250
13,1512, ,Блок вызова DP400-RD24,ЭЛТИС,80,2483,198640
14,8916, ,Блок вызова DP400-RDС16,ЭЛТИС,10,3836,38360
15,8909, ,Блок вызова DP400-RDC24,ЭЛТИС,13,3925,51025
16,8893, ,Блок вызова DP400-TDC16,ЭЛТИС,25,3747,93675
17,8850, ,Блок вызова DP400-TDC22,ЭЛТИС,25,3822,95550
18,1651, ,Блок вызова DP400-ТD16,ЭЛТИС,75,2261,169575
19,1135, ,Блок вызова DP400-ТD22,ЭЛТИС,70,2378,166460
20,1536, ,Блок вызова DP420-RD24,ЭЛТИС,200,2045,409000
21,1021, ,Блок вызова DP420-ТD22,ЭЛТИС,140,1936,271040
22,1267, ,Блок питания PS2-C2 (ИП-16-2),ЭЛТИС,30,562,16860
23,1661, ,Блок питания PS2-CE2 (ИП 16-3),ЭЛТИС,30,631,18930
24,1224, ,Блок питания PS2-CS2 (ИП 16-3),ЭЛТИС,500,631,315500
25,1366, ,Блок питания PS2-CSD2,ЭЛТИС,12,567,6804
26,388, ,Видеопанель VP-2,ЭЛТИС,7,2884,20188
27,1104, ,Видеопанель VP-3,ЭЛТИС,3,2903,8709
28,1589, ,Устройство защиты FTM-3,ЭЛТИС,50,350,17500
29,1050, ,Кожух KG9,ЭЛТИС,5,416,2080
30,1867, ,Комплект 100 (UD-IЕ-2, CD  c ПО),ЭЛТИС,2,1300,2600
31,1598, ,Комплект 300 (UD-IO-3, CD  c ПО),ЭЛТИС,2,2500,5000
32,397, ,Коммутатор КМ100-7.1,ЭЛТИС,250,572,143000
33,402, ,Коммутатор КМ100-7.2,ЭЛТИС,40,686,27440
34,1689, ,Коммутатор КМ100-7.3,ЭЛТИС,30,694,20820
35,1027, ,Коммутатор КМ20-1,ЭЛТИС,260,386,100360
36,1662, ,Коммутатор КМ300-4.1,ЭЛТИС,10,612,6120
37,1754, ,Коммутатор КМ300-4.2,ЭЛТИС,6,686,4116
38,1777, ,Пульт консъержа SC303-D1,ЭЛТИС,2,4024,8048
39,1398, ,Пульт консъержа SC400-1,ЭЛТИС,2,2736,5472
40,214, ,Блок вызова ЦП 1-2,ЭЛТИС,2,1762,3524
41,175, ,Блок вызова ЦП 4-1,ЭЛТИС,4,2300,9200
42,8917, ,Блок вызова ЦП1В-1 с цветной видеокамерой,ЭЛТИС,10,3182,31820
43,8673, ,Видеоразветвитель ВР100-3,ЭЛТИС,30, , 
44,8564, ,Видеомонитор VM500-5CL,ЭЛТИС,50,3709,185450
45,8795, ,Видеокоммутатор KMV1.4-2.4,ЭЛТИС,40,578,23120
46,1433, ,ЗИП считывателя xxx-RD,ЭЛТИС,10,72,720
47,1656, ,ЗИП считывателя xxx-TD,ЭЛТИС,10,140,1400
48,8396, ,Микрофон 34J9E / VM-4P (V), ,40, , 
49,1955, ,Ключ ELTIS-RF 2.1,ЭЛТИС,15000,18,270000
50,1705, ,Кнопка выхода В-11,ЭЛТИС,10,310,3100
51,1209, ,Кнопка выхода В-22,ЭЛТИС,10,376,3760
52,1210, ,Кнопка выхода В-24,ЭЛТИС,10,385,3850
53,514, ,Кнопка выхода В-21,ЭЛТИС,1200,258,309600
54,1124, ,Кнопка выхода В-23,ЭЛТИС,160,319,51040
55,24, ,Кодовое устройство КУ 18-1,ЭЛТИС,4,1974,7896
56,135, ,Кодовое устройство КУ 19-1,ЭЛТИС,2,1795,3590
57,1010, ,Блок электронно ключевого устройства CRT-51,ЭЛТИС,10,809,8090
58,1688, ,Блок электронно ключевого устройства CRT-52,ЭЛТИС,5,880,4400
59,429, ,Блок электронно ключевого устройства БЭКУ ТМ-4,ЭЛТИС,3,1167,3501
60,1578, ,Считыватель SR-1,ЭЛТИС,40,549,21960
61,1370, ,Считыватель ST-10,ЭЛТИС,30,248,7440
62,1338, ,Считыватель ST-11,ЭЛТИС,5,356,1780
